nodeID;communityID;color;type
t_24;4;#39568c;tag
t_73;1;#481a6c;tag
t_18;0;#440154;tag
t_81;0;#440154;tag
t_79;1;#481a6c;tag
t_33;0;#440154;tag
t_292;0;#440154;tag
t_14;0;#440154;tag
t_78;1;#481a6c;tag
t_84;5;#31688e;tag
t_103;7;#23888e;tag
t_13;0;#440154;tag
t_25;4;#39568c;tag
t_187;0;#440154;tag
t_181;1;#481a6c;tag
t_352;4;#39568c;tag
t_83;6;#2a788e;tag
t_1;1;#481a6c;tag
t_376;1;#481a6c;tag
t_625;6;#2a788e;tag
t_72;2;#472f7d;tag
t_296;0;#440154;tag
t_304;7;#23888e;tag
t_545;6;#2a788e;tag
t_387;2;#472f7d;tag
t_109;1;#481a6c;tag
t_74;4;#39568c;tag
t_192;2;#472f7d;tag
t_386;2;#472f7d;tag
t_182;1;#481a6c;tag
t_735;2;#472f7d;tag
t_105;0;#440154;tag
t_87;0;#440154;tag
t_5;1;#481a6c;tag
t_829;2;#472f7d;tag
t_193;8;#1f988b;tag
t_311;7;#23888e;tag
t_76;2;#472f7d;tag
t_275;4;#39568c;tag
t_247;2;#472f7d;tag
t_570;0;#440154;tag
t_85;6;#2a788e;tag
t_90;0;#440154;tag
t_839;8;#1f988b;tag
t_140;9;#22a884;tag
t_308;6;#2a788e;tag
t_91;2;#472f7d;tag
t_169;1;#481a6c;tag
t_4;2;#472f7d;tag
t_565;4;#39568c;tag
t_385;1;#481a6c;tag
t_389;5;#31688e;tag
t_575;4;#39568c;tag
t_724;5;#31688e;tag
t_826;0;#440154;tag
t_512;6;#2a788e;tag
t_712;1;#481a6c;tag
t_574;0;#440154;tag
t_265;7;#23888e;tag
t_615;2;#472f7d;tag
t_393;0;#440154;tag
t_199;3;#414487;tag
t_23;0;#440154;tag
t_120;6;#2a788e;tag
t_17;4;#39568c;tag
t_139;9;#22a884;tag
t_836;0;#440154;tag
t_742;1;#481a6c;tag
t_7;1;#481a6c;tag
t_1076;2;#472f7d;tag
t_6;1;#481a6c;tag
t_177;1;#481a6c;tag
t_190;4;#39568c;tag
t_183;1;#481a6c;tag
t_1354;2;#472f7d;tag
t_825;0;#440154;tag
t_445;2;#472f7d;tag
t_203;4;#39568c;tag
t_600;4;#39568c;tag
t_253;8;#1f988b;tag
t_56;1;#481a6c;tag
t_1222;1;#481a6c;tag
t_249;5;#31688e;tag
t_108;2;#472f7d;tag
t_164;9;#22a884;tag
t_82;2;#472f7d;tag
t_626;0;#440154;tag
t_327;0;#440154;tag
t_349;3;#414487;tag
t_89;2;#472f7d;tag
t_242;4;#39568c;tag
t_70;0;#440154;tag
t_1316;9;#22a884;tag
t_189;1;#481a6c;tag
t_4449;5;#31688e;tag
t_821;0;#440154;tag
t_170;1;#481a6c;tag
