nodeID;communityID;color;type
t_24;0;#440154;tag
t_73;0;#440154;tag
t_18;2;#440154;tag
t_81;0;#440154;tag
t_79;0;#440154;tag
t_33;2;#440154;tag
t_292;0;#440154;tag
t_14;2;#440154;tag
t_78;0;#440154;tag
t_84;0;#440154;tag
t_103;4;#440256;tag
t_13;2;#440154;tag
t_25;0;#440154;tag
t_187;2;#440154;tag
t_181;1;#440154;tag
t_352;0;#440154;tag
t_83;5;#440256;tag
t_1;1;#440154;tag
t_376;1;#440154;tag
t_625;5;#440256;tag
t_72;0;#440154;tag
t_296;0;#440154;tag
t_304;4;#440256;tag
t_545;8;#450559;tag
t_387;0;#440154;tag
t_109;3;#440256;tag
t_74;2;#440154;tag
t_192;0;#440154;tag
t_386;1;#440154;tag
t_182;1;#440154;tag
t_735;0;#440154;tag
t_105;2;#440154;tag
t_87;6;#450457;tag
t_5;1;#440154;tag
t_829;0;#440154;tag
t_193;7;#450559;tag
t_311;14;#460a5d;tag
t_76;1;#440154;tag
t_275;0;#440154;tag
t_247;0;#440154;tag
t_570;2;#440154;tag
t_85;5;#440256;tag
t_90;2;#440154;tag
t_839;7;#450559;tag
t_140;11;#46075a;tag
t_308;3;#440256;tag
t_91;1;#440154;tag
t_169;1;#440154;tag
t_4;9;#450559;tag
t_565;2;#440154;tag
t_385;1;#440154;tag
t_389;0;#440154;tag
t_575;2;#440154;tag
t_724;0;#440154;tag
t_826;2;#440154;tag
t_512;8;#450559;tag
t_712;10;#450559;tag
t_574;2;#440154;tag
t_265;12;#46085c;tag
t_615;1;#440154;tag
t_393;0;#440154;tag
t_199;3;#440256;tag
t_23;2;#440154;tag
t_120;158;#38588c;tag
t_17;0;#440154;tag
t_139;26;#471164;tag
t_836;2;#440154;tag
t_742;1;#440154;tag
t_7;1;#440154;tag
t_1076;0;#440154;tag
t_6;1;#440154;tag
t_177;1;#440154;tag
t_190;1;#440154;tag
t_183;10;#450559;tag
t_1354;0;#440154;tag
t_825;2;#440154;tag
t_445;0;#440154;tag
t_203;5;#440256;tag
t_600;2;#440154;tag
t_253;102;#433d84;tag
t_56;0;#440154;tag
t_1222;1;#440154;tag
t_249;0;#440154;tag
t_108;0;#440154;tag
t_164;38;#48186a;tag
t_82;1;#440154;tag
t_626;2;#440154;tag
t_327;2;#440154;tag
t_349;3;#440256;tag
t_89;1;#440154;tag
t_242;0;#440154;tag
t_70;2;#440154;tag
t_1316;11;#46075a;tag
t_189;1;#440154;tag
t_4449;0;#440154;tag
t_821;6;#450457;tag
t_170;0;#440154;tag
t_233;2;#440154;tag
t_75;0;#440154;tag
t_1249;1;#440154;tag
t_1627;5;#440256;tag
t_7938;3;#440256;tag
t_1219;26;#471164;tag
t_356;3;#440256;tag
t_12639;176;#34608d;tag
t_2;1;#440154;tag
t_202;3;#440256;tag
t_1096;7;#450559;tag
t_1538;0;#440154;tag
t_564;2;#440154;tag
t_2141;51;#482071;tag
t_2140;1;#440154;tag
t_9817;0;#440154;tag
t_6628;0;#440154;tag
t_197;4;#440256;tag
t_8505;8;#450559;tag
t_2115;0;#440154;tag
t_4046;32;#481668;tag
t_743;1;#440154;tag
u_1543;2;#440154;user
t_1365;1;#440154;tag
t_1534;2;#440154;tag
t_9823;1;#440154;tag
t_6162;4;#440256;tag
t_1247;276;#238a8d;tag
u_78;2;#440154;user
t_2064;0;#440154;tag
t_2215;275;#238a8d;tag
t_7937;3;#440256;tag
t_848;0;#440154;tag
t_1640;250;#27808e;tag
a_289;3;#440256;artist
t_3507;0;#440154;tag
t_2244;6;#450457;tag
t_617;1;#440154;tag
a_89;3;#440256;artist
t_1859;0;#440154;tag
t_1812;0;#440154;tag
t_4430;7;#450559;tag
t_297;99;#443a83;tag
t_3555;4;#440256;tag
t_145;38;#48186a;tag
t_2191;0;#440154;tag
t_1198;6;#450457;tag
t_6645;7;#450559;tag
t_1210;0;#440154;tag
t_528;0;#440154;tag
t_2525;2;#440154;tag
t_4258;0;#440154;tag
t_1286;0;#440154;tag
u_1281;1;#440154;user
t_3586;2;#440154;tag
u_1210;0;#440154;user
t_588;2;#440154;tag
t_1372;1;#440154;tag
t_1455;245;#277e8e;tag
t_1079;1;#440154;tag
t_22;2;#440154;tag
a_288;3;#440256;artist
u_1258;0;#440154;user
t_1734;3;#440256;tag
t_8116;218;#2c728e;tag
t_160;0;#440154;tag
t_1767;7;#450559;tag
t_1358;1;#440154;tag
t_124;13;#46085c;tag
t_757;0;#440154;tag
t_509;3;#440256;tag
t_612;246;#277e8e;tag
t_2021;1;#440154;tag
a_333;3;#440256;artist
t_6383;255;#26828e;tag
t_19;0;#440154;tag
t_543;0;#440154;tag
a_701;3;#440256;artist
t_513;0;#440154;tag
t_80;0;#440154;tag
t_738;1;#440154;tag
t_537;262;#25848e;tag
a_300;3;#440256;artist
t_505;0;#440154;tag
u_831;271;#23888e;user
t_1074;5;#440256;tag
t_1351;2;#440154;tag
t_42;269;#24878e;tag
t_6164;251;#27808e;tag
a_295;3;#440256;artist
t_9430;283;#228d8d;tag
a_227;0;#440154;artist
t_5939;1;#440154;tag
a_154;0;#440154;artist
t_5329;0;#440154;tag
t_2887;0;#440154;tag
t_12642;0;#440154;tag
t_8310;3;#440256;tag
a_55;3;#440256;artist
t_842;314;#1f9a8a;tag
a_67;3;#440256;artist
t_394;0;#440154;tag
t_1593;0;#440154;tag
t_8052;0;#440154;tag
a_292;3;#440256;artist
t_2458;2;#440154;tag
a_498;3;#440256;artist
t_1796;5;#440256;tag
t_1684;1;#440154;tag
t_3925;12;#46085c;tag
u_298;10;#450559;user
t_3829;0;#440154;tag
t_1955;13;#46085c;tag
t_1634;7;#450559;tag
t_619;1;#440154;tag
t_546;5;#440256;tag
t_9825;2;#440154;tag
t_2809;274;#23898e;tag
t_723;232;#2a788e;tag
u_1488;1;#440154;user
t_1025;0;#440154;tag
a_349;3;#440256;artist
t_198;1;#440154;tag
t_1017;6;#450457;tag
t_12220;2;#440154;tag
t_728;297;#20938c;tag
t_395;0;#440154;tag
t_683;7;#450559;tag
t_9427;2;#440154;tag
t_7040;5;#440256;tag
t_2272;2;#440154;tag
t_6824;0;#440154;tag
t_1682;1;#440154;tag
t_1001;217;#2c718e;tag
t_1251;265;#25858e;tag
u_143;5;#440256;user
t_414;1;#440154;tag
a_65;0;#440154;artist
u_1213;2;#440154;user
a_466;3;#440256;artist
u_1597;311;#1f998a;user
t_1554;220;#2c738e;tag
t_1973;13;#46085c;tag
a_306;3;#440256;artist
u_1087;0;#440154;user
t_8501;0;#440154;tag
t_7256;2;#440154;tag
t_5009;0;#440154;tag
t_9433;2;#440154;tag
t_9429;2;#440154;tag
t_10259;2;#440154;tag
a_302;3;#440256;artist
t_2938;0;#440154;tag
t_1843;1;#440154;tag
t_2192;0;#440154;tag
t_4530;0;#440154;tag
u_1625;146;#3b528b;user
u_545;1;#440154;user
a_72;0;#440154;artist
t_1322;6;#450457;tag
t_978;263;#25858e;tag
t_8499;0;#440154;tag
t_1181;292;#21918c;tag
t_9203;282;#228d8d;tag
a_157;3;#440256;artist
t_4340;272;#23898e;tag
t_344;2;#440154;tag
a_461;3;#440256;artist
u_1869;3;#440256;user
a_229;0;#440154;artist
t_279;1;#440154;tag
a_190;0;#440154;artist
t_5632;1;#440154;tag
t_8500;0;#440154;tag
a_291;3;#440256;artist
u_142;0;#440154;user
u_1130;378;#2fb47c;user
t_792;0;#440154;tag
t_261;102;#433d84;tag
a_377;1;#440154;artist
t_10581;286;#218f8d;tag
u_212;1;#440154;user
t_2197;0;#440154;tag
a_378;3;#440256;artist
u_236;3;#440256;user
t_9829;3;#440256;tag
t_7286;1;#440154;tag
u_390;3;#440256;user
t_9491;302;#1f958b;tag
u_1568;3;#440256;user
t_2196;0;#440154;tag
u_1478;3;#440256;user
u_1956;266;#24868e;user
u_1785;0;#440154;user
t_4116;303;#1f958b;tag
t_2199;0;#440154;tag
t_1091;3;#440256;tag
u_1023;3;#440256;user
t_2534;260;#25838e;tag
t_6980;327;#1fa088;tag
t_3937;277;#228b8d;tag
u_405;3;#440256;user
a_298;3;#440256;artist
u_1773;3;#440256;user
t_1486;285;#218e8d;tag
t_2091;9;#450559;tag
t_907;0;#440154;tag
u_179;3;#440256;user
u_1342;214;#2d718e;user
u_1249;5;#440256;user
u_1102;3;#440256;user
t_1373;1;#440154;tag
a_234;0;#440154;artist
u_2061;3;#440256;user
t_734;220;#2c738e;tag
u_621;3;#440256;user
a_173;0;#440154;artist
a_679;3;#440256;artist
a_299;3;#440256;artist
t_3706;9;#450559;tag
t_2087;9;#450559;tag
t_7474;200;#2f6b8e;tag
t_1387;7;#450559;tag
u_1503;3;#440256;user
a_903;3;#440256;artist
t_1469;2;#440154;tag
t_2204;0;#440154;tag
u_1670;1;#440154;user
a_163;0;#440154;artist
u_2037;3;#440256;user
t_1987;304;#1f968b;tag
u_749;3;#440256;user
t_3708;2;#440154;tag
u_2068;3;#440256;user
a_228;0;#440154;artist
a_207;0;#440154;artist
a_230;1;#440154;artist
u_941;3;#440256;user
u_1230;84;#46337f;user
t_1359;1;#440154;tag
t_104;2;#440154;tag
