nodeID;communityID;color;type
t_73;1;#481c6e;tag
t_24;5;#2b748e;tag
t_79;2;#453581;tag
t_18;0;#440154;tag
t_81;0;#440154;tag
t_33;0;#440154;tag
t_78;2;#453581;tag
t_25;5;#2b748e;tag
t_352;5;#2b748e;tag
t_14;0;#440154;tag
t_84;4;#34618d;tag
t_187;0;#440154;tag
t_13;0;#440154;tag
t_292;0;#440154;tag
t_1;1;#481c6e;tag
t_181;1;#481c6e;tag
t_72;1;#481c6e;tag
t_192;1;#481c6e;tag
t_296;0;#440154;tag
t_83;0;#440154;tag
t_735;1;#481c6e;tag
t_625;5;#2b748e;tag
t_103;6;#24878e;tag
t_109;3;#3d4d8a;tag
t_74;5;#2b748e;tag
t_387;1;#481c6e;tag
t_386;1;#481c6e;tag
t_275;4;#34618d;tag
t_247;1;#481c6e;tag
t_182;1;#481c6e;tag
t_829;1;#481c6e;tag
t_105;0;#440154;tag
t_376;2;#453581;tag
t_839;8;#25ac82;tag
t_304;6;#24878e;tag
t_87;0;#440154;tag
t_570;0;#440154;tag
t_90;0;#440154;tag
t_76;1;#481c6e;tag
t_389;4;#34618d;tag
t_5;1;#481c6e;tag
t_193;8;#25ac82;tag
t_85;0;#440154;tag
t_826;0;#440154;tag
t_545;0;#440154;tag
t_724;4;#34618d;tag
t_308;10;#67cc5c;tag
t_169;2;#453581;tag
t_512;3;#3d4d8a;tag
t_393;0;#440154;tag
t_1354;1;#481c6e;tag
t_17;5;#2b748e;tag
t_91;1;#481c6e;tag
t_836;0;#440154;tag
t_1076;1;#481c6e;tag
t_199;3;#3d4d8a;tag
t_311;6;#24878e;tag
t_825;0;#440154;tag
t_445;1;#481c6e;tag
t_615;1;#481c6e;tag
t_203;5;#2b748e;tag
t_4;1;#481c6e;tag
t_385;1;#481c6e;tag
t_56;4;#34618d;tag
t_108;1;#481c6e;tag
t_575;0;#440154;tag
t_170;4;#34618d;tag
t_140;7;#1f998a;tag
t_177;2;#453581;tag
t_23;0;#440154;tag
t_574;0;#440154;tag
t_2;2;#453581;tag
t_7;1;#481c6e;tag
a_227;4;#34618d;artist
t_249;4;#34618d;tag
t_265;6;#24878e;tag
t_233;0;#440154;tag
t_75;1;#481c6e;tag
a_67;3;#3d4d8a;artist
a_89;3;#3d4d8a;artist
t_190;0;#440154;tag
t_242;5;#2b748e;tag
