nodeID;communityID;color;type
t_73;0;#440154;tag
t_24;2;#440154;tag
t_79;1;#440154;tag
t_18;2;#440154;tag
t_81;1;#440154;tag
t_33;1;#440154;tag
t_78;0;#440154;tag
t_25;2;#440154;tag
t_352;2;#440154;tag
t_14;4;#440256;tag
t_84;1;#440154;tag
t_187;2;#440154;tag
t_13;4;#440256;tag
t_292;1;#440154;tag
t_1;0;#440154;tag
t_181;0;#440154;tag
t_72;0;#440154;tag
t_192;0;#440154;tag
t_296;1;#440154;tag
t_83;4;#440256;tag
t_735;0;#440154;tag
t_625;2;#440154;tag
t_103;5;#450457;tag
t_109;3;#440256;tag
t_74;2;#440154;tag
t_387;0;#440154;tag
t_386;0;#440154;tag
t_275;2;#440154;tag
t_247;0;#440154;tag
t_182;0;#440154;tag
t_829;7;#450559;tag
t_105;4;#440256;tag
t_376;0;#440154;tag
t_839;6;#450559;tag
t_304;5;#450457;tag
t_87;8;#450559;tag
t_570;4;#440256;tag
t_90;4;#440256;tag
t_76;0;#440154;tag
t_389;1;#440154;tag
t_5;0;#440154;tag
t_193;6;#450559;tag
t_85;2;#440154;tag
t_826;4;#440256;tag
t_545;10;#46085c;tag
t_724;1;#440154;tag
t_308;3;#440256;tag
t_169;0;#440154;tag
t_512;3;#440256;tag
t_393;1;#440154;tag
t_1354;2;#440154;tag
t_17;2;#440154;tag
t_91;0;#440154;tag
t_836;1;#440154;tag
t_1076;0;#440154;tag
t_199;3;#440256;tag
t_311;53;#482576;tag
t_825;4;#440256;tag
t_445;0;#440154;tag
t_615;0;#440154;tag
t_203;2;#440154;tag
t_4;0;#440154;tag
t_385;0;#440154;tag
t_56;0;#440154;tag
t_108;0;#440154;tag
t_575;2;#440154;tag
t_170;0;#440154;tag
t_140;12;#460a5d;tag
t_177;0;#440154;tag
t_23;4;#440256;tag
t_574;4;#440256;tag
t_2;0;#440154;tag
t_7;0;#440154;tag
a_227;1;#440154;artist
t_249;1;#440154;tag
t_265;31;#481769;tag
t_233;4;#440256;tag
t_75;0;#440154;tag
a_67;3;#440256;artist
a_89;3;#440256;artist
t_190;2;#440154;tag
t_242;1;#440154;tag
t_2115;1;#440154;tag
t_89;0;#440154;tag
a_289;3;#440256;artist
a_72;2;#440154;artist
t_1534;1;#440154;tag
a_154;1;#440154;artist
t_1538;0;#440154;tag
t_742;0;#440154;tag
a_190;1;#440154;artist
t_565;2;#440154;tag
a_55;3;#440256;artist
a_292;3;#440256;artist
t_9817;1;#440154;tag
t_6;0;#440154;tag
t_82;0;#440154;tag
t_183;11;#46085c;tag
t_821;8;#450559;tag
u_1543;0;#440154;user
t_120;135;#39568c;tag
t_712;11;#46085c;tag
t_2191;2;#440154;tag
t_505;2;#440154;tag
a_288;3;#440256;artist
t_1096;6;#450559;tag
t_848;0;#440154;tag
u_1281;0;#440154;user
a_157;3;#440256;artist
t_600;2;#440154;tag
a_300;3;#440256;artist
u_831;2;#440154;user
t_1812;1;#440154;tag
t_139;20;#471063;tag
a_333;3;#440256;artist
t_6628;1;#440154;tag
a_65;1;#440154;artist
t_1249;9;#46075a;tag
t_2140;0;#440154;tag
t_202;3;#440256;tag
t_1358;0;#440154;tag
t_626;59;#482979;tag
t_4449;1;#440154;tag
t_349;3;#440256;tag
a_498;3;#440256;artist
t_327;4;#440256;tag
t_253;0;#440154;tag
t_1286;0;#440154;tag
t_528;0;#440154;tag
u_1503;3;#440256;user
t_564;4;#440256;tag
u_179;3;#440256;user
t_1222;0;#440154;tag
t_356;3;#440256;tag
t_1365;0;#440154;tag
a_163;0;#440154;artist
t_617;0;#440154;tag
t_1859;2;#440154;tag
t_19;2;#440154;tag
t_80;0;#440154;tag
t_395;2;#440154;tag
u_1300;3;#440256;user
u_405;3;#440256;user
u_1895;3;#440256;user
u_1023;3;#440256;user
t_509;2;#440154;tag
u_390;3;#440256;user
t_22;4;#440256;tag
u_232;3;#440256;user
u_1258;2;#440154;user
u_749;3;#440256;user
t_757;1;#440154;tag
a_599;2;#440154;artist
a_229;1;#440154;artist
t_1627;4;#440256;tag
u_1568;3;#440256;user
u_851;3;#440256;user
t_7938;3;#440256;tag
t_2244;1;#440154;tag
t_743;0;#440154;tag
u_1247;3;#440256;user
u_46;3;#440256;user
u_1478;3;#440256;user
a_1098;1;#440154;artist
u_691;3;#440256;user
a_51;2;#440154;artist
a_959;0;#440154;artist
u_1210;2;#440154;user
a_378;3;#440256;artist
u_514;3;#440256;user
u_236;3;#440256;user
a_159;2;#440154;artist
t_1074;2;#440154;tag
u_730;3;#440256;user
u_2068;3;#440256;user
u_298;1;#440154;user
a_707;0;#440154;artist
a_207;1;#440154;artist
u_78;4;#440256;user
