source,target,weight
p0,a1,0.8105010713346149
p0,a2,0.825994332599411
p0,a3,0.8460898307188605
p0,a4,0.7662871003383521
p0,a5,0.8396258730194515
p0,v10173,0.28057212549003613
p0,t10191,0.4444214409142783
p0,t10192,0.7132076807956802
p0,t10193,0.7738219027499772
p0,t10194,0.53138708462948
p0,t10195,0.8915788476360017
p0,t10196,0.42502795020965206
p6,a7,0.909599183497575
p6,a8,0.8237866428630684
p6,a9,0.770037994098664
p6,a10,0.7453644422425315
p6,v10173,0.412200391652449
p6,t10197,0.8296276235234655
p6,t10198,0.6096369359349928
p6,t10199,0.7751882265519598
p6,t10200,0.776916623342847
p6,t10201,0.9341471319309111
p11,a12,0.810875810817094
p11,a13,0.7720050685561127
p11,a14,0.9094436804613462
p11,a15,0.7969075432633911
p11,a16,0.8520378262639435
p11,a17,0.7970393151123614
p11,a18,0.9001083153721707
p11,v10173,0.3537662269907683
p11,t10202,0.6431882671182929
p11,t10203,0.9126158864813124
p11,t10204,0.47376549535457574
p19,a20,0.8735985226969033
p19,a21,0.9092356798785134
p19,a22,0.9199124823807375
p19,v10173,0.3958802191079163
p19,t10205,0.8363948894245464
p19,t10206,0.8872974153939168
p19,t10207,0.9270274938485946
p19,t10208,0.6102608629282761
p23,a24,0.8939140162960886
p23,a25,0.815351972225477
p23,a26,0.8283464429767925
p23,a27,0.8961064045039839
p23,a28,0.9074832408139553
p23,v10173,0.3397254108733832
p23,t10209,0.4481541902677962
p23,t10210,0.9020972442845262
p23,t10211,0.8819662606607048
p23,t10212,0.7282445856306607
p23,t10213,0.5939842696408433
p23,t10214,0.6580570502159682
p23,t10215,0.6640384754848799
p29,a30,0.835681161309062
p29,a31,0.7900585447610002
p29,v10173,0.2490008413673931
p29,t10216,0.168772083504572
p29,t10217,0.5690999688109399
p29,t10218,0.8205950355061409
p29,t10219,0.5507593467828897
p29,t10220,0.8366110016101654
p29,t10221,0.5629471600982323
p29,t10222,0.8405067160143177
p29,t10223,0.5208755438903757
p29,t10224,0.39539836239754933
p32,a33,0.7184508945059118
p32,a34,0.7243951834510463
p32,v10173,0.20470912639593228
p32,t10225,0.28371831048644724
p32,t10216,0.17516179165419055
p32,t10226,0.38125910834692744
p32,t10227,0.5315287227846588
p32,t10228,0.6420804391169606
p32,t10229,0.5346478710688551
p32,t10230,0.3110539180410845
p32,t10231,0.4255584462991239
p32,t10232,0.5701701623410876
p32,t10233,0.588097256431969
p32,t10234,0.2825464035470738
p32,p4682,0.8720969864498587
p35,a36,0.8759601164159002
p35,a37,0.9273812466724825
p35,v10173,0.3682062367495356
p35,t10229,0.7247292287601214
p35,t10235,0.6015009519087228
p35,t10236,0.6530830083739716
p35,t10237,0.6008559490741806
p38,a39,0.9412839006716465
p38,a40,0.8349000523711972
p38,v10173,0.442582431113513
p38,t10238,0.8044917584311948
p38,t10239,0.7336231842586468
p38,t10240,0.8461791595488061
p41,a42,0.9177108812513629
p41,a43,0.8915493151775346
p41,a44,0.9326750622196276
p41,v10173,0.36103446859704713
p41,t10241,0.6240271463016184
p41,t10242,0.637397546205853
p41,t10243,0.70643866322983
p41,t10244,0.6529573701926294
p41,t10245,0.5307157845596885
p45,a46,0.8296135595499716
p45,a47,0.7951489256743305
p45,a48,0.858961589709468
p45,a49,0.8114435417447562
p45,a50,0.8096309852488557
p45,a51,0.8480772744414838
p45,a52,0.8500051616639809
p45,a53,0.7932051467659107
p45,a54,0.8200860340018118
p45,a55,0.8038752652386135
p45,a56,0.8237176961323754
p45,a57,0.8029700208872927
p45,a58,0.801045038436437
p45,a59,0.8275636154225372
p45,a60,0.8128543191501874
p45,a61,0.7355263251968984
p45,a62,0.8438244011721776
p45,a63,0.8226175265169148
p45,a64,0.8116938299515163
p45,a65,0.8403792210340358
p45,v10173,0.34182507105345344
p45,t10246,0.6572074619529122
p45,t10247,0.6336770993706363
p45,t10248,0.7972245702116033
p45,t10249,0.8166669580863478
p45,t10250,0.7885604322372979
p45,t10251,0.5568424174171315
p45,t10252,0.39863484887421335
p45,t10253,0.7526497014741366
p66,a46,0.8249610563055444
p66,a47,0.8367515285975716
p66,a48,0.8344005382035338
p66,a49,0.8349176808170152
p66,a52,0.8360167318777861
p66,a53,0.7386638806579214
p66,a55,0.798889704101129
p66,a56,0.8138311071129752
p66,a57,0.831839048077843
p66,a58,0.786520353765497
p66,a60,0.7950003853777667
p66,a61,0.7202429392685633
p66,a63,0.84602673903534
p66,a67,0.7994549877354123
p66,a68,0.7792245538493808
p66,a69,0.7970912896118881
p66,a70,0.8439754548470094
p66,a71,0.7866251865245802
p66,v10173,0.2915294718637933
p66,t10254,0.3579863034246351
p66,t10255,0.5055670601920486
p66,t10251,0.566343512573408
p66,t10253,0.7113949237953243
p66,t10256,0.5979192333320649
p66,t10257,0.47345028578409093
p66,t10258,0.5372804673438288
p66,t10259,0.7653520892189191
p72,a73,0.6822784481108487
p72,v10173,0.2856182346727107
p72,t10260,0.4806046481827956
p72,t10261,0.6067101698498674
p72,t10262,0.31732100150913084
p72,t10263,0.5783849068629006
p72,t10264,0.5535479236551598
p72,t10265,0.7170746399905933
p72,p4395,0.7963877705455504
p72,p5828,0.6701906413131491
p72,p4420,0.7515221485365817
p72,p4628,0.6730014507466102
p72,p4840,0.6886608772096524
p74,a75,0.8252486655742278
p74,a76,0.6941430687451023
p74,v10173,0.22198299619081863
p74,t10266,0.46988195779863245
p74,t10267,0.5628420873847816
p74,t10268,0.5562466729237963
p74,t10269,0.575107977380105
p74,t10270,0.6320735641477491
p74,t10271,0.7898285690691053
p77,a78,0.5743124706222517
p77,a79,0.7488036986916188
p77,v10173,0.3059008096847094
p77,t10272,0.5495396407089197
p77,t10273,0.22941675771957812
p77,t10274,0.7318388522891718
p77,t10275,0.5495668670865146
p77,t10276,0.7949881877359352
p80,a81,0.9371545776748289
p80,a82,0.9312261695620526
p80,v10173,0.4000546271263716
p80,t10277,0.5840892260235533
p80,t10278,0.6164266030247124
p80,t10279,0.5546438994639297
p80,t10280,0.933262551503206
p83,a84,0.8837438652320624
p83,v10173,0.3775411927159899
p83,t10281,0.599877487357211
p83,t10282,0.6418531631609484
p83,t10283,0.9406004844178198
p85,a68,0.8360812597116373
p85,a84,0.843012223262929
p85,v10173,0.39090739353848836
p85,t10284,0.5359239540140106
p85,t10285,0.41542738134041873
p85,t10286,0.7126984870488074
p85,t10287,0.8997242349478279
p85,t10288,0.8284066364189525
p85,t10289,0.9349484407120915
p86,a87,0.6777388367287178
p86,a88,0.7362995222114394
p86,v10173,0.2974854020758987
p86,t10225,0.28756249484375357
p86,t10290,0.7292146506100745
p86,t10291,0.6375486415252715
p86,t10231,0.4249823310636083
p86,t10277,0.4867948403441662
p86,t10292,0.6135142289473878
p86,p14670,0.6981689672472269
p86,p4572,0.7695008625382864
p89,a87,0.685603051450652
p89,a88,0.7240927521150775
p89,v10173,0.35029984223872906
p89,t10225,0.2911109386759011
p89,t10293,0.18488681222687547
p89,t10294,0.7182928818627188
