source,target,weight
p0,a1,0.7521023981943492
p0,a2,0.8031981828724033
p0,a3,0.9000948602478251
p0,a4,0.6824132623469951
p0,a5,0.8337050932442516
p0,v10173,0.49028448013655757
p0,t10191,0.5051794843570664
p0,t10192,0.6135660590182701
p0,t10193,0.6730091650563055
p0,t10194,0.5853573944742114
p0,t10195,0.8715445637268858
p0,t10196,0.5392896462570133
p6,a7,0.9110061690935232
p6,a8,0.831516152626544
p6,a9,0.7778888880404996
p6,a10,0.7804679553837776
p6,v10173,0.5038253087757727
p6,t10197,0.788467433687675
p6,t10198,0.5823651525629724
p6,t10199,0.7810414648314626
p6,t10200,0.7750873786727526
p6,t10201,0.8982397364935852
p11,a12,0.7984900496201867
p11,a13,0.7788666683382336
p11,a14,0.9070898229084373
p11,a15,0.7669497893860119
p11,a16,0.8533878198754171
p11,a17,0.7745103838615118
p11,a18,0.8860568273994057
p11,v10173,0.522623856898421
p11,t10202,0.6558151734008537
p11,t10203,0.8877804303747064
p11,t10204,0.5730550307455153
p19,a20,0.8325954802973373
p19,a21,0.90013876795976
p19,a22,0.8912604072246106
p19,v10173,0.5075641466888325
p19,t10205,0.7912128638864656
p19,t10206,0.7894055950651894
p19,t10207,0.8709935914791784
p19,t10208,0.61621223757461
p23,a24,0.8919916351301378
p23,a25,0.8311661377660572
p23,a26,0.7737951948087608
p23,a27,0.8647542822144101
p23,a28,0.899861701610634
p23,v10173,0.4930705024611924
p23,t10209,0.5316162036372786
p23,t10210,0.8734503033864054
p23,t10211,0.8236764583361168
p23,t10212,0.7082080140892185
p23,t10213,0.5574584453612815
p23,t10214,0.6820804273705953
p23,t10215,0.7310120863215703
p29,a30,0.8929068369606066
p29,a31,0.8070244008372993
p29,v10173,0.45386132777061916
p29,t10216,0.3238686051948538
p29,t10217,0.5523981844247448
p29,t10218,0.8742267581931685
p29,t10219,0.5712823550492077
p29,t10220,0.8566134056084708
p29,t10221,0.5830996453465339
p29,t10222,0.8391686552994336
p29,t10223,0.5348576312791544
p29,t10224,0.41855645034118044
p32,a33,0.9088493202951502
p32,a34,0.9294636515886815
p32,v10173,0.4511573693848216
p32,t10225,0.3953579484995872
p32,t10216,0.3143248507153412
p32,t10226,0.42060529295865223
p32,t10227,0.5305318086049123
p32,t10228,0.8654292294264528
p32,t10229,0.6436555931822577
p32,t10230,0.4426385185199571
p32,t10231,0.48139008206848993
p32,t10232,0.6619985574556486
p32,t10233,0.6681187395075399
p32,t10234,0.4814458104187044
p32,p4682,0.4506098044536904
p35,a36,0.8358910698244202
p35,a37,0.9323522836568179
p35,v10173,0.4842145353806993
p35,t10229,0.6700903367375991
p35,t10235,0.5763643175700398
p35,t10236,0.6261475510821541
p35,t10237,0.5588201751206917
p38,a39,0.9198808211610533
p38,a40,0.8483023501752138
p38,v10173,0.5610368875579396
p38,t10238,0.7101064481878141
p38,t10239,0.663485069461708
p38,t10240,0.7651536141985317
p41,a42,0.8996543548876261
p41,a43,0.9117190749682409
p41,a44,0.8987412978312199
p41,v10173,0.46105507065418655
p41,t10241,0.5267619279831076
p41,t10242,0.5749883638740556
p41,t10243,0.685223749639449
p41,t10244,0.6726235839727089
p41,t10245,0.5116297778740861
p45,a46,0.8672249502933136
p45,a47,0.8705658452293906
p45,a48,0.8768920113213216
p45,a49,0.8516804916022633
p45,a50,0.8851075051592796
p45,a51,0.892836299561074
p45,a52,0.8563477589663998
p45,a53,0.7648758234252373
p45,a54,0.8618721339537885
p45,a55,0.8500516745407696
p45,a56,0.8657373328414378
p45,a57,0.872381942910167
p45,a58,0.7726968438891673
p45,a59,0.8913406460460542
p45,a60,0.7103997970927516
p45,a61,0.7279378987255422
p45,a62,0.8939073071180496
p45,a63,0.8847150510935683
p45,a64,0.8861077625839437
p45,a65,0.9005376438344571
p45,v10173,0.5127125786448784
p45,t10246,0.7137183113439146
p45,t10247,0.6958285961981036
p45,t10248,0.9196765316817544
p45,t10249,0.7988632861033467
p45,t10250,0.8341190872539014
p45,t10251,0.6168590535974284
p45,t10252,0.5073898473039152
p45,t10253,0.7407882848176623
p66,a46,0.8550322152136516
p66,a47,0.860049383483476
p66,a48,0.8577243075057115
p66,a49,0.8630816803471808
p66,a52,0.8437729636521296
p66,a53,0.805236942132978
p66,a55,0.8663101194181315
p66,a56,0.8742934734263694
p66,a57,0.8642686115738112
p66,a58,0.7977866930958363
p66,a60,0.6842316505877692
