nodeID;communityID;color;type
t10503;8;#2d708e;topic
v10189;4;#433e85;venue
v10187;1;#471164;venue
v10181;0;#440154;venue
v10188;4;#433e85;venue
t10508;5;#3e4c8a;topic
t10273;2;#482173;topic
t10216;1;#471164;topic
v10179;2;#482173;venue
v10178;3;#472f7d;venue
v10182;2;#482173;venue
t10325;6;#38588c;topic
v10174;1;#471164;venue
t10225;0;#440154;topic
v10173;0;#440154;venue
v10180;0;#440154;venue
t11072;3;#472f7d;topic
t10734;1;#471164;topic
t10293;3;#472f7d;topic
t10262;8;#2d708e;topic
t10527;1;#471164;topic
t11110;3;#472f7d;topic
t10744;1;#471164;topic
t10372;6;#38588c;topic
t10480;1;#471164;topic
v10183;2;#482173;venue
v10190;6;#38588c;venue
t10285;2;#482173;topic
t10739;1;#471164;topic
t10343;1;#471164;topic
t11109;4;#433e85;topic
v10184;2;#482173;venue
t10535;2;#482173;topic
v10186;2;#482173;venue
t10365;8;#2d708e;topic
t10329;1;#471164;topic
p7119;4;#433e85;paper
t10254;7;#32648e;topic
t10300;5;#3e4c8a;topic
v10185;3;#472f7d;venue
t10224;2;#482173;topic
t10471;2;#482173;topic
t10577;1;#471164;topic
t10445;8;#2d708e;topic
t11372;2;#482173;topic
t10469;6;#38588c;topic
t10579;2;#482173;topic
p4633;1;#471164;paper
t10714;1;#471164;topic
t10589;3;#472f7d;topic
t11103;3;#472f7d;topic
t11196;4;#433e85;topic
t10756;13;#1e9b8a;topic
p14767;2;#482173;paper
t10418;1;#471164;topic
p14689;1;#471164;paper
t10721;4;#433e85;topic
t10226;2;#482173;topic
t10585;13;#1e9b8a;topic
t10846;8;#2d708e;topic
t10260;15;#3bbb75;topic
t11044;3;#472f7d;topic
t10299;2;#482173;topic
t10326;2;#482173;topic
v10176;9;#297a8e;venue
t10685;5;#3e4c8a;topic
t10817;1;#471164;topic
t10802;7;#32648e;topic
t10628;2;#482173;topic
t10324;6;#38588c;topic
t11171;3;#472f7d;topic
t10857;8;#2d708e;topic
t10348;12;#1e9b8a;topic
p9001;3;#472f7d;paper
t10536;2;#482173;topic
t11091;5;#3e4c8a;topic
t10230;1;#471164;topic
a1623;2;#482173;author
t10569;1;#471164;topic
t10699;3;#472f7d;topic
v10177;5;#3e4c8a;venue
t11488;8;#2d708e;topic
v10175;1;#471164;venue
t10578;5;#3e4c8a;topic
t11169;2;#482173;topic
t10566;9;#297a8e;topic
t10419;1;#471164;topic
t11389;9;#297a8e;topic
p8276;1;#471164;paper
