nodeID;communityID;color;type
v10189;2;#440154;venue
v10187;1;#440154;venue
v10181;5;#440154;venue
v10188;2;#440154;venue
v10178;2;#440154;venue
v10179;0;#440154;venue
v10174;1;#440154;venue
v10182;0;#440154;venue
v10173;5;#440154;venue
t10503;2;#440154;topic
v10180;5;#440154;venue
t10508;1;#440154;topic
v10183;0;#440154;venue
v10190;28;#450559;venue
t10273;0;#440154;topic
t10216;0;#440154;topic
v10184;0;#440154;venue
t10325;3;#440154;topic
t10225;5;#440154;topic
v10186;0;#440154;venue
t11072;4;#440154;topic
t10262;0;#440154;topic
t10293;0;#440154;topic
t10734;1;#440154;topic
t10527;1;#440154;topic
t10744;1;#440154;topic
v10175;1;#440154;venue
t10372;1;#440154;topic
v10185;2;#440154;venue
t11110;2;#440154;topic
t10480;0;#440154;topic
v10176;89;#471365;venue
a1623;0;#440154;author
v10177;6;#440154;venue
a473;0;#440154;author
a1046;2;#440154;author
t10739;0;#440154;topic
t10285;0;#440154;topic
t11109;2;#440154;topic
t10535;0;#440154;topic
t10329;1;#440154;topic
t10365;1;#440154;topic
t10343;1;#440154;topic
a2639;3;#440154;author
t10300;2;#440154;topic
t10224;0;#440154;topic
t10589;4;#440154;topic
t10254;2;#440154;topic
a1184;1;#440154;author
t10471;0;#440154;topic
t10445;0;#440154;topic
t10579;0;#440154;topic
t11372;0;#440154;topic
a1621;0;#440154;author
t10714;1;#440154;topic
t10469;0;#440154;topic
t10756;2;#440154;topic
t11103;2;#440154;topic
t11196;2;#440154;topic
a1395;13;#440256;author
t10418;1;#440154;topic
a1277;2;#440154;author
a1475;0;#440154;author
a1496;9;#440256;author
a1417;2;#440154;author
t10577;1;#440154;topic
a1324;1;#440154;author
t10326;0;#440154;topic
a966;2;#440154;author
t10846;0;#440154;topic
t10260;21;#450457;topic
a191;9;#440256;author
a116;5;#440154;author
t10226;0;#440154;topic
t11171;4;#440154;topic
t10802;2;#440154;topic
t10324;3;#440154;topic
a1820;6;#440154;author
t10817;3;#440154;topic
a1622;0;#440154;author
t10585;0;#440154;topic
t10721;2;#440154;topic
a1347;6;#440154;author
a1064;2;#440154;author
t10685;6;#440154;topic
p2748;38;#46085c;paper
t10857;0;#440154;topic
t10299;2;#440154;topic
a2588;2;#440154;author
a1636;0;#440154;author
t10578;6;#440154;topic
a3871;0;#440154;author
a2899;3;#440154;author
t11044;0;#440154;topic
t10230;0;#440154;topic
t11091;2;#440154;topic
a3549;0;#440154;author
t10348;2;#440154;topic
t11169;0;#440154;topic
a1941;2;#440154;author
t10536;0;#440154;topic
t10628;0;#440154;topic
t10569;1;#440154;topic
a1331;0;#440154;author
t11389;0;#440154;topic
t11488;0;#440154;topic
a1821;6;#440154;author
p45;56;#460b5e;paper
t10419;8;#440256;topic
t10699;7;#440154;topic
t10309;2;#440154;topic
a892;2;#440154;author
t11153;1;#440154;topic
a922;4;#440154;author
a2805;2;#440154;author
a2619;2;#440154;author
a78;0;#440154;author
p66;72;#471063;paper
t10252;5;#440154;topic
t10566;0;#440154;topic
t10528;1;#440154;topic
t10266;6;#440154;topic
a2473;2;#440154;author
a2296;12;#440256;author
p696;59;#470d60;paper
a1488;0;#440154;author
a404;21;#450457;author
t10385;5;#440154;topic
a1888;15;#450457;author
a1767;3;#440154;author
t11294;2;#440154;topic
t10234;0;#440154;topic
t10752;0;#440154;topic
a469;8;#440256;author
t10204;4;#440154;topic
t10713;0;#440154;topic
a1494;9;#440256;author
t10814;3;#440154;topic
t10281;1;#440154;topic
a3486;0;#440154;author
a1485;0;#440154;author
a524;36;#46085c;author
a1337;8;#440256;author
a1248;3;#440154;author
a963;62;#470d60;author
t10460;1;#440154;topic
t10706;6;#440154;topic
a200;5;#440154;author
a1031;1;#440154;author
t10310;0;#440154;topic
a3232;0;#440154;author
t10424;3;#440154;topic
a2366;26;#450559;author
p3005;129;#481b6d;paper
t10442;3;#440154;topic
p8644;105;#481668;paper
a121;16;#450457;author
a2481;6;#440154;author
p132;90;#471365;paper
t10633;0;#440154;topic
p9185;33;#46075a;paper
t10930;1;#440154;topic
a2682;80;#471164;author
t10429;0;#440154;topic
t10489;1;#440154;topic
a1006;1;#440154;author
t10620;0;#440154;topic
a1919;1;#440154;author
t11425;6;#440154;topic
p8353;71;#471063;paper
a901;3;#440154;author
t10656;0;#440154;topic
t10196;3;#440154;topic
a3023;2;#440154;author
a1119;2;#440154;author
t11096;7;#440154;topic
p756;167;#482173;paper
a8391;47;#460a5d;author
t11303;2;#440154;topic
a1120;4;#440154;author
t10873;0;#440154;topic
a2361;2;#440154;author
a2423;1709;#dfe318;author
a347;43;#460a5d;author
t10565;12;#440256;topic
a912;2;#440154;author
a325;660;#2d708e;author
p9733;148;#481f70;paper
a906;4;#440154;author
t10958;22;#450559;topic
a1679;4;#440154;author
t10509;1;#440154;topic
t11246;3;#440154;topic
p7900;220;#472c7a;paper
a2976;4;#440154;author
p866;79;#471164;paper
p5517;60;#470d60;paper
t10277;1;#440154;topic
t10722;1;#440154;topic
t11193;1;#440154;topic
t10420;8;#440256;topic
t11408;121;#481a6c;topic
a2993;2;#440154;author
a3494;0;#440154;author
a4596;34;#46075a;author
p8324;2;#440154;paper
a109;107;#481769;author
t11014;2;#440154;topic
t10209;1;#440154;topic
t10504;2;#440154;topic
t10308;2;#440154;topic
t11126;1;#440154;topic
t10379;0;#440154;topic
t11013;3;#440154;topic
a2433;2;#440154;author
t10431;0;#440154;topic
a882;10;#440256;author
p2644;98;#481467;paper
a1074;258;#46327e;author
a1416;0;#440154;author
p647;114;#48186a;paper
p8004;85;#471365;paper
a2335;0;#440154;author
t11031;0;#440154;topic
t10368;0;#440154;topic
t10231;5;#440154;topic
p5148;137;#481c6e;paper
a918;0;#440154;author
a3481;0;#440154;author
p8134;224;#472c7a;paper
a1231;0;#440154;author
a2776;2;#440154;author
t11105;0;#440154;topic
a388;5;#440154;author
p8372;2;#440154;paper
a942;3;#440154;author
a1161;7;#440154;author
t10754;2;#440154;topic
a1816;50;#460b5e;author
a1891;15;#450457;author
a3874;0;#440154;author
a1917;1;#440154;author
p8867;4;#440154;paper
a3690;30;#46075a;author
a3338;2;#440154;author
p3017;68;#470e61;paper
t10304;5;#440154;topic
a1958;25;#450559;author
p6073;103;#481668;paper
p607;77;#471063;paper
t11494;3;#440154;topic
p2980;99;#481668;paper
p689;163;#482173;paper
a2544;2;#440154;author
p5787;552;#34618d;paper
t10467;1;#440154;topic
t10602;0;#440154;topic
p9755;233;#472e7c;paper
p1264;265;#46337f;paper
a117;151;#481f70;author
