nodeID;communityID;color;type
t10503;1;#440154;topic
v10189;1;#440154;venue
v10187;0;#440154;venue
v10181;347;#404588;venue
v10188;1;#440154;venue
t10508;0;#440154;topic
t10273;2;#440154;topic
t10216;0;#440154;topic
v10179;2;#440154;venue
v10178;1;#440154;venue
v10182;2;#440154;venue
t10325;0;#440154;topic
v10174;0;#440154;venue
t10225;21;#450559;topic
v10173;11;#440256;venue
v10180;0;#440154;venue
t11072;1;#440154;topic
t10734;1;#440154;topic
t10293;1;#440154;topic
t10262;2;#440154;topic
t10527;0;#440154;topic
t11110;1;#440154;topic
t10744;0;#440154;topic
t10372;0;#440154;topic
t10480;0;#440154;topic
v10183;2;#440154;venue
v10190;0;#440154;venue
t10285;0;#440154;topic
t10739;0;#440154;topic
t10343;0;#440154;topic
t11109;1;#440154;topic
v10184;2;#440154;venue
t10535;1;#440154;topic
v10186;2;#440154;venue
t10365;0;#440154;topic
t10329;0;#440154;topic
p7119;1;#440154;paper
t10254;1;#440154;topic
t10300;6;#440154;topic
v10185;4;#440154;venue
t10224;2;#440154;topic
t10471;2;#440154;topic
t10577;0;#440154;topic
t10445;1;#440154;topic
t11372;2;#440154;topic
t10469;0;#440154;topic
t10579;2;#440154;topic
p4633;0;#440154;paper
t10714;0;#440154;topic
t10589;1;#440154;topic
t11103;1;#440154;topic
t11196;1;#440154;topic
t10756;1;#440154;topic
p14767;2;#440154;paper
t10418;0;#440154;topic
p14689;0;#440154;paper
t10721;1;#440154;topic
t10226;2;#440154;topic
t10585;0;#440154;topic
t10846;2;#440154;topic
t10260;16;#450457;topic
t11044;1;#440154;topic
t10299;1;#440154;topic
t10326;2;#440154;topic
v10176;182;#482677;venue
t10685;1;#440154;topic
t10817;0;#440154;topic
t10802;1;#440154;topic
t10628;1;#440154;topic
t10324;0;#440154;topic
t11171;0;#440154;topic
t10857;2;#440154;topic
t10348;1;#440154;topic
p9001;3;#440154;paper
t10536;2;#440154;topic
t11091;1;#440154;topic
t10230;0;#440154;topic
a1623;2;#440154;author
t10569;0;#440154;topic
t10699;19;#450457;topic
v10177;1;#440154;venue
t11488;1;#440154;topic
v10175;0;#440154;venue
t10578;1;#440154;topic
t11169;2;#440154;topic
t10566;17;#450457;topic
t10419;0;#440154;topic
t11389;0;#440154;topic
p8276;0;#440154;paper
p7199;4;#440154;paper
t10309;1;#440154;topic
a473;2;#440154;author
t10234;1;#440154;topic
t10814;4;#440154;topic
t11153;0;#440154;topic
t10385;84;#471365;topic
t10528;0;#440154;topic
p9950;43;#460a5d;paper
t10252;1;#440154;topic
t10713;2;#440154;topic
p8605;5;#440154;paper
t10204;1;#440154;topic
t11096;13;#440256;topic
t10281;0;#440154;topic
t10266;1;#440154;topic
t11294;6;#440154;topic
p8931;3;#440154;paper
t10752;1;#440154;topic
t10706;2;#440154;topic
p14859;1;#440154;paper
t10310;2;#440154;topic
t11303;1;#440154;topic
p8803;1;#440154;paper
p9352;1;#440154;paper
t10460;0;#440154;topic
p10113;0;#440154;paper
p7706;0;#440154;paper
p8805;1;#440154;paper
p7895;0;#440154;paper
t10873;2;#440154;topic
p14735;3;#440154;paper
t10429;1;#440154;topic
t10277;1;#440154;topic
t10633;2;#440154;topic
p14772;0;#440154;paper
a2639;1;#440154;author
t10930;0;#440154;topic
t11014;1;#440154;topic
p8959;22;#450559;paper
t10565;2;#440154;topic
t10489;0;#440154;topic
t11425;1;#440154;topic
t11126;0;#440154;topic
t10656;105;#481769;topic
p14911;2;#440154;paper
p7853;0;#440154;paper
a1621;2;#440154;author
p8796;23;#450559;paper
t10442;0;#440154;topic
a1046;1;#440154;author
t10722;0;#440154;topic
t11408;1;#440154;topic
t10509;0;#440154;topic
p14722;0;#440154;paper
t10196;0;#440154;topic
t10620;2;#440154;topic
p3017;1;#440154;paper
t10379;0;#440154;topic
p10097;0;#440154;paper
t11031;17;#450457;topic
p14762;3;#440154;paper
t10420;0;#440154;topic
p9752;1;#440154;paper
t10308;1;#440154;topic
t10368;2;#440154;topic
t11246;5;#440154;topic
p14719;0;#440154;paper
p7650;146;#482071;paper
t10209;0;#440154;topic
t10958;18;#450457;topic
p14670;11;#440256;paper
p9945;31;#46075a;paper
t10504;1;#440154;topic
t10754;1;#440154;topic
p8867;3;#440154;paper
p7604;10;#440256;paper
t10424;1;#440154;topic
t11193;0;#440154;topic
t10360;2;#440154;topic
p14872;1;#440154;paper
p9949;5;#440154;paper
a1184;0;#440154;author
t10746;10;#440256;topic
a966;1;#440154;author
p9417;2;#440154;paper
p8398;1;#440154;paper
p14810;0;#440154;paper
p9264;0;#440154;paper
t10431;2;#440154;topic
t10231;21;#450559;topic
p9365;1;#440154;paper
t11127;0;#440154;topic
t11409;2;#440154;topic
t10467;0;#440154;topic
t11105;0;#440154;topic
p9845;25;#450559;paper
t11194;1;#440154;topic
t10447;2;#440154;topic
t10373;155;#482173;topic
p7158;1;#440154;paper
p8894;1;#440154;paper
t10602;2;#440154;topic
p9273;3;#440154;paper
t11457;1;#440154;topic
t11013;0;#440154;topic
p8700;2;#440154;paper
a2588;1;#440154;author
a1496;7;#440256;author
t10434;1;#440154;topic
p9372;0;#440154;paper
p14706;0;#440154;paper
p14750;0;#440154;paper
p9566;0;#440154;paper
p10169;0;#440154;paper
t11597;0;#440154;topic
p9057;1;#440154;paper
t11494;1;#440154;topic
p9705;1;#440154;paper
p9359;1;#440154;paper
p8933;1;#440154;paper
t11328;2;#440154;topic
p7218;1;#440154;paper
p45;46;#460a5d;paper
t10606;0;#440154;topic
t11483;3;#440154;topic
t10297;45;#460a5d;topic
t10284;104;#481769;topic
t10301;1;#440154;topic
