nodeID;communityID;color;type
v10189;0;#440154;venue
v10187;3;#482677;venue
v10181;1;#470e61;venue
v10188;0;#440154;venue
v10178;0;#440154;venue
v10179;2;#481b6d;venue
v10174;3;#482677;venue
v10182;2;#481b6d;venue
v10173;1;#470e61;venue
t10503;2;#481b6d;topic
v10180;1;#470e61;venue
t10508;2;#481b6d;topic
v10183;2;#481b6d;venue
v10190;4;#46327e;venue
t10273;2;#481b6d;topic
t10216;3;#482677;topic
v10184;2;#481b6d;venue
t10325;4;#46327e;topic
t10225;1;#470e61;topic
v10186;2;#481b6d;venue
t11072;0;#440154;topic
t10262;2;#481b6d;topic
t10293;0;#440154;topic
t10734;0;#440154;topic
t10527;3;#482677;topic
t10744;3;#482677;topic
v10175;3;#482677;venue
t10372;4;#46327e;topic
v10185;0;#440154;venue
t11110;0;#440154;topic
t10480;3;#482677;topic
v10176;1;#470e61;venue
a1623;2;#481b6d;author
v10177;5;#433d84;venue
a473;2;#481b6d;author
a1046;2;#481b6d;author
t10739;3;#482677;topic
t10285;2;#481b6d;topic
t11109;0;#440154;topic
t10535;2;#481b6d;topic
t10329;3;#482677;topic
t10365;3;#482677;topic
t10343;3;#482677;topic
a2639;0;#440154;author
t10300;8;#365c8d;topic
t10224;2;#481b6d;topic
t10589;0;#440154;topic
t10254;1;#470e61;topic
a1184;3;#482677;author
t10471;2;#481b6d;topic
t10445;9;#32658e;topic
t10579;2;#481b6d;topic
t11372;2;#481b6d;topic
a1621;2;#481b6d;author
t10714;3;#482677;topic
t10469;14;#21918c;topic
t10756;11;#2a768e;topic
t11103;0;#440154;topic
t11196;0;#440154;topic
a1395;2;#481b6d;author
t10418;3;#482677;topic
a1277;2;#481b6d;author
a1475;0;#440154;author
a1496;4;#46327e;author
a1417;0;#440154;author
t10577;3;#482677;topic
a1324;3;#482677;author
t10326;2;#481b6d;topic
a966;0;#440154;author
t10846;2;#481b6d;topic
t10260;1;#470e61;topic
a191;4;#46327e;author
a116;1;#470e61;author
t10226;2;#481b6d;topic
t11171;3;#482677;topic
t10802;5;#433d84;topic
t10324;4;#46327e;topic
a1820;0;#440154;author
t10817;3;#482677;topic
a1622;2;#481b6d;author
t10585;2;#481b6d;topic
t10721;0;#440154;topic
a1347;8;#365c8d;author
a1064;0;#440154;author
t10685;0;#440154;topic
p2748;5;#433d84;paper
t10857;2;#481b6d;topic
t10299;2;#481b6d;topic
a2588;0;#440154;author
a1636;2;#481b6d;author
t10578;0;#440154;topic
a3871;2;#481b6d;author
a2899;6;#3f4788;author
t11044;2;#481b6d;topic
t10230;3;#482677;topic
t11091;8;#365c8d;topic
a3549;2;#481b6d;author
t10348;10;#2e6e8e;topic
t11169;2;#481b6d;topic
a1941;0;#440154;author
t10536;2;#481b6d;topic
t10628;2;#481b6d;topic
t10569;3;#482677;topic
a1331;0;#440154;author
t11389;14;#21918c;topic
t11488;2;#481b6d;topic
a1821;0;#440154;author
p45;12;#277f8e;paper
t10419;3;#482677;topic
t10699;5;#433d84;topic
t10309;0;#440154;topic
a892;2;#481b6d;author
t11153;3;#482677;topic
a922;0;#440154;author
a2805;0;#440154;author
a2619;0;#440154;author
a78;2;#481b6d;author
p66;12;#277f8e;paper
t10252;11;#2a768e;topic
t10566;9;#32658e;topic
t10528;4;#46327e;topic
t10266;2;#481b6d;topic
a2473;8;#365c8d;author
a2296;7;#3b528b;author
p696;11;#2a768e;paper
a1488;2;#481b6d;author
a404;9;#32658e;author
t10385;11;#2a768e;topic
a1888;15;#1f998a;author
a1767;3;#482677;author
t11294;8;#365c8d;topic
t10234;2;#481b6d;topic
t10752;11;#2a768e;topic
a469;3;#482677;author
t10204;0;#440154;topic
t10713;2;#481b6d;topic
a1494;4;#46327e;author
t10814;6;#3f4788;topic
t10281;3;#482677;topic
a3486;2;#481b6d;author
a1485;3;#482677;author
a524;3;#482677;author
a1337;3;#482677;author
a1248;0;#440154;author
a963;0;#440154;author
t10460;1;#470e61;topic
t10706;2;#481b6d;topic
a200;1;#470e61;author
a1031;3;#482677;author
t10310;1;#470e61;topic
a3232;2;#481b6d;author
t10424;5;#433d84;topic
a2366;10;#2e6e8e;author
p3005;10;#2e6e8e;paper
t10442;2;#481b6d;topic
p8644;6;#3f4788;paper
a121;3;#482677;author
a2481;2;#481b6d;author
p132;1;#470e61;paper
t10633;2;#481b6d;topic
p9185;5;#433d84;paper
t10930;3;#482677;topic
a2682;4;#46327e;author
t10429;2;#481b6d;topic
t10489;3;#482677;topic
a1006;3;#482677;author
t10620;2;#481b6d;topic
a1919;3;#482677;author
t11425;0;#440154;topic
p8353;0;#440154;paper
a901;3;#482677;author
t10656;1;#470e61;topic
t10196;4;#46327e;topic
a3023;0;#440154;author
a1119;0;#440154;author
t11096;5;#433d84;topic
p756;14;#21918c;paper
a8391;5;#433d84;author
t11303;0;#440154;topic
a1120;0;#440154;author
t10873;2;#481b6d;topic
a2361;21;#5ec962;author
a2423;6;#3f4788;author
a347;16;#1fa187;author
t10565;1;#470e61;topic
a912;0;#440154;author
a325;1;#470e61;author
p9733;18;#2db27d;paper
a906;0;#440154;author
t10958;1;#470e61;topic
a1679;0;#440154;author
t10509;3;#482677;topic
t11246;6;#3f4788;topic
p7900;3;#482677;paper
a2976;0;#440154;author
p866;7;#3b528b;paper
p5517;11;#2a768e;paper
t10277;19;#3aba76;topic
t10722;3;#482677;topic
t11193;4;#46327e;topic
t10420;3;#482677;topic
t11408;14;#21918c;topic
a2993;0;#440154;author
a3494;2;#481b6d;author
a4596;1;#470e61;author
p8324;0;#440154;paper
a109;1;#470e61;author
t11014;0;#440154;topic
t10209;3;#482677;topic
t10504;0;#440154;topic
t10308;8;#365c8d;topic
t11126;3;#482677;topic
t10379;2;#481b6d;topic
t11013;9;#32658e;topic
a2433;0;#440154;author
t10431;1;#470e61;topic
a882;14;#21918c;author
p2644;0;#440154;paper
a1074;4;#46327e;author
a1416;2;#481b6d;author
p647;6;#3f4788;paper
p8004;3;#482677;paper
a2335;2;#481b6d;author
t11031;9;#32658e;topic
t10368;2;#481b6d;topic
t10231;1;#470e61;topic
p5148;21;#5ec962;paper
a918;2;#481b6d;author
a3481;2;#481b6d;author
p8134;19;#3aba76;paper
a1231;3;#482677;author
a2776;0;#440154;author
t11105;7;#3b528b;topic
a388;1;#470e61;author
p8372;0;#440154;paper
a942;3;#482677;author
a1161;5;#433d84;author
t10754;0;#440154;topic
a1816;2;#481b6d;author
a1891;15;#1f998a;author
a3874;2;#481b6d;author
a1917;3;#482677;author
p8867;0;#440154;paper
a3690;9;#32658e;author
a3338;2;#481b6d;author
p3017;0;#440154;paper
t10304;1;#470e61;topic
a1958;0;#440154;author
p6073;12;#277f8e;paper
p607;1;#470e61;paper
t11494;0;#440154;topic
p2980;5;#433d84;paper
p689;1;#470e61;paper
a2544;0;#440154;author
p5787;1;#470e61;paper
t10467;7;#3b528b;topic
t10602;2;#481b6d;topic
p9755;19;#3aba76;paper
p1264;16;#1fa187;paper
a117;1;#470e61;author
p2377;5;#433d84;paper
p736;22;#73d056;paper
p5629;1;#470e61;paper
p6672;2;#481b6d;paper
t10360;1;#470e61;topic
p3071;19;#3aba76;paper
p9885;21;#5ec962;paper
p3147;17;#24aa83;paper
t11457;0;#440154;topic
t11597;5;#433d84;topic
p2414;5;#433d84;paper
p9902;4;#46327e;paper
a4414;1;#470e61;author
a2745;3;#482677;author
a1336;14;#21918c;author
t11409;2;#481b6d;topic
p9069;0;#440154;paper
t10284;1;#470e61;topic
p8886;0;#440154;paper
a1163;0;#440154;author
a3782;2;#481b6d;author
a474;9;#32658e;author
p310;1;#470e61;paper
t11131;6;#3f4788;topic
a161;1;#470e61;author
a4904;1;#470e61;author
a1310;0;#440154;author
t11483;4;#46327e;topic
a2495;5;#433d84;author
p8256;3;#482677;paper
a2408;5;#433d84;author
p8989;0;#440154;paper
a2897;0;#440154;author
a2164;11;#2a768e;author
p9945;4;#46327e;paper
p5262;4;#46327e;paper
t10404;1;#470e61;topic
t10297;1;#470e61;topic
a4884;1;#470e61;author
p5494;18;#2db27d;paper
a2439;0;#440154;author
p9124;6;#3f4788;paper
p6696;8;#365c8d;paper
t11453;0;#440154;topic
p9916;12;#277f8e;paper
p3751;2;#481b6d;paper
p7316;14;#21918c;paper
p8195;3;#482677;paper
t11115;3;#482677;topic
t10434;8;#365c8d;topic
p6890;15;#1f998a;paper
